YYYYMM;PRCP
194910;2337.5
194911;1418.0
194912;392.0
195001;604.0
195002;1614.3333333333333
195003;1596.0
195004;2216.1666666666665
195005;2308.3333333333335
195006;3144.6666666666665
195007;1770.6666666666667
195008;2327.8333333333335
195009;1579.0
195010;2821.5
195011;2000.3333333333333
195012;1248.6666666666667
195101;560.4
195102;1034.4545454545455
195103;556.9090909090909
195104;1559.5454545454545
195105;1381.2727272727273
195106;1753.909090909091
195107;1482.8181818181818
195108;1705.6363636363637
195109;1233.8181818181818
195110;2168.2727272727275
195111;1931.2
195112;1010.7272727272727
195201;479.72727272727275
195202;537.3636363636364
195203;765.6363636363636
195204;2154.3636363636365
195205;2343.7272727272725
195206;1401.6
195207;1218.5
195208;948.75
195209;1402.8333333333333
195210;1229.4545454545455
195211;1630.909090909091
195212;926.2727272727273
195301;502.25
195302;935.6
195303;1122.6666666666667
195304;1806.1333333333334
195305;2175.3333333333335
195306;1577.0666666666666
195307;1184.4
195308;720.4
195309;1895.2
195310;2299.133333333333
195311;2134.9333333333334
195312;956.3333333333334
195401;656.7333333333333
195402;779.2
195403;1065.9333333333334
195404;1944.0
195405;2055.133333333333
195406;1801.6666666666667
195407;1809.0666666666666
195408;1298.6
195409;1247.1333333333334
195410;2745.2
195411;1989.2
195412;1617.5
195501;529.5
195502;590.9090909090909
195503;1063.4545454545455
195504;1538.6363636363637
195505;1774.5454545454545
195506;1434.6363636363637
195507;1001.1818181818181
195508;1005.2222222222222
195509;1422.3
195510;2213.9
195511;1563.2727272727273
195512;1138.1818181818182
195601;997.6153846153846
195602;893.3076923076923
195603;796.5384615384615
195604;971.0
195605;1688.7692307692307
195606;1409.9285714285713
195607;770.1428571428571
195608;942.7142857142857
195609;1094.857142857143
195610;2792.214285714286
195611;1444.5714285714287
195612;954.7857142857143
195701;272.2142857142857
195702;496.73333333333335
195703;903.2666666666667
195704;1335.7333333333333
195705;2118.6666666666665
195706;865.3333333333334
195707;711.5333333333333
195708;622.9285714285714
195709;822.5
195710;1624.0
195711;846.2
195712;455.8666666666667
195801;368.2
195802;262.8666666666667
195803;837.5384615384615
195804;1243.9285714285713
195805;1655.6153846153845
195806;628.2857142857143
195807;503.42857142857144
195808;1062.8666666666666
195809;791.5714285714286
195810;1452.6875
195811;1401.0
195812;913.8125
195901;422.5625
195902;338.1875
195903;811.4375
195904;1501.5294117647059
195905;1849.8823529411766
195906;1796.5882352941176
195907;1250.5882352941176
195908;1244.5294117647059
195909;1171.1176470588234
195910;1610.1875
195911;1275.9375
195912;1101.875
196001;994.9375
196002;1054.0625
196003;1091.8125
196004;1689.25
196005;1930.625
196006;1582.6875
196007;1557.9375
196008;1852.0666666666666
196009;1382.4705882352941
196010;2414.235294117647
196011;1882.1764705882354
196012;1459.764705882353
196101;896.2352941176471
196102;545.3888888888889
196103;1242.9444444444443
196104;1787.5882352941176
196105;1268.5294117647059
196106;1926.3333333333333
196107;1719.3333333333333
196108;1367.2222222222222
196109;1295.5555555555557
196110;1935.7058823529412
196111;2320.5882352941176
196112;1195.4705882352941
196201;801.4375
196202;676.9375
196203;1463.6875
196204;1539.375
196205;1744.6875
196206;1539.875
196207;1184.625
196208;1660.2
196209;1729.3333333333333
196210;2002.2666666666667
196211;1838.0
196212;1384.3125
196301;868.7647058823529
196302;1266.235294117647
196303;991.5882352941177
196304;1466.5294117647059
196305;1243.4705882352941
196306;1112.5882352941176
196307;865.3529411764706
196308;894.7058823529412
196309;1116.0588235294117
196310;1611.5882352941176
196311;2178.6470588235293
196312;1190.4705882352941
196401;727.7222222222222
196402;856.1666666666666
196403;441.27777777777777
196404;1711.888888888889
196405;1426.0
196406;2190.6111111111113
196407;1678.0
196408;1686.8823529411766
196409;1650.8823529411766
196410;2066.294117647059
196411;2008.6470588235295
196412;1433.388888888889
196501;1223.1333333333334
196502;606.625
196503;623.9375
196504;1846.0625
196505;1804.5
196506;1001.1176470588235
196507;893.9411764705883
196508;1312.8235294117646
196509;1726.1333333333334
196510;2173.6875
196511;2471.8125
196512;1067.625
196601;868.75
196602;739.7058823529412
196603;939.0
196604;1339.7058823529412
196605;1703.3529411764705
196606;1910.0588235294117
196607;1421.4117647058824
196608;1600.8235294117646
196609;1416.0625
196610;2227.3529411764707
196611;2501.529411764706
196612;2132.235294117647
196701;902.9411764705883
196702;1141.4117647058824
196703;1195.4705882352941
196704;1783.0588235294117
196705;1916.8333333333333
196706;2120.3888888888887
196707;1706.388888888889
196708;1375.611111111111
196709;1417.764705882353
196710;2205.6470588235293
196711;2229.1666666666665
196712;1367.6666666666667
196801;832.6111111111111
196802;890.0526315789474
196803;1124.421052631579
196804;1682.9473684210527
196805;1676.611111111111
196806;2012.2631578947369
196807;1416.8947368421052
196808;1675.0
196809;1752.842105263158
196810;2626.3888888888887
196811;2036.8947368421052
196812;913.9473684210526
196901;900.9
196902;769.35
196903;803.6842105263158
196904;2379.0
196905;1516.95
196906;1817.3
196907;1290.5263157894738
196908;1599.8
196909;1720.9
196910;2456.157894736842
196911;1678.55
196912;1109.55
197001;1217.75
197002;1094.65
197003;945.3
197004;1572.0
197005;2349.0
197006;1872.9
197007;1431.45
197008;1645.05
197009;2042.8
197010;2063.6
197011;2134.7368421052633
197012;1207.8
197101;1662.85
197102;1430.095238095238
197103;1765.952380952381
197104;1651.8095238095239
197105;2120.3333333333335
197106;1824.3809523809523
197107;1541.55
197108;1575.95
197109;1495.35
197110;2085.45
197111;1706.95
